"","X1","Country","Population","Deaths","Rates","Region"
"155",155,"Sri Lanka",21413250,21,0.980701201358972,"Asia & Pacific"
"156",156,"Sudan",43849269,837,19.0881175236924,"Africa"
"157",157,"Suriname",586634,111,189.215081294299,"Latin America/Caribbean"
"158",158,"Sweden",10099270,5938,587.963288435699,"Europe"
"159",159,"Switzerland",8654618,2326,268.758251375162,"Europe"
"160",160,"Syria",17500657,292,16.6850878798436,"Middle east"
"161",161,"Taiwan*",23816775,7,0.293910489560404,"Asia & Pacific"
"162",162,"Tanzania",59734213,21,0.351557322769114,"Africa"
"163",163,"Thailand",69799978,59,0.845272472721983,"Asia & Pacific"
"164",164,"Timor-Leste",1318442,0,0,"Asia & Pacific"
"165",165,"Togo",8278737,57,6.88510819947536,"Africa"
"166",166,"Trinidad and Tobago",1399491,109,77.8854597850218,"Latin America/Caribbean"
"167",167,"Tunisia",11818618,1348,114.057328868739,"Africa"
"168",168,"Turkey",84339067,10326,122.434363662097,"Europe"
"169",169,"Uganda",45741000,112,2.44856911742201,"Africa"
"170",170,"Ukraine",43733759,7515,171.835217731913,"Europe"
"171",171,"United Arab Emirates",9890400,496,50.1496400550028,"Middle east"
"172",172,"United Kingdom",67886004,46807,689.494111334053,"Europe"
"173",173,"Uruguay",3473727,59,16.9846392649739,"Latin America/Caribbean"
"174",174,"Uzbekistan",33469199,570,17.0305838511403,"Asia & Pacific"
"175",175,"Venezuela",28435943,801,28.1685752429592,"Latin America/Caribbean"
"176",176,"Vietnam",97338583,35,0.359569647731568,"Asia & Pacific"
"177",177,"West Bank and Gaza",5101416,489,95.8557388772059,"Middle east"
"178",178,"Western Sahara",597330,1,1.67411648502503,"Africa"
"179",179,"Yemen",29825968,600,20.1166983079979,"Middle east"
"180",180,"Zambia",18383956,349,18.9839444785442,"Africa"
"181",181,"Zimbabwe",14862927,243,16.349404124773,"Africa"
"182",182,"Australia",25459700,907,35.624928809059,"Asia & Pacific"
"183",183,"Canada",37855702,10230,270.236700405133,"North America"
"184",184,"China",1404676330,4739,3.37373094341242,"Asia & Pacific"
"185",185,"US",329466283,230995,701.118784892474,"North America"
"186",186,"Comoros",869595,7,8.04972429694283,"Africa"
"187",187,"Tajikistan",9537642,82,8.5975128863088,"Asia & Pacific"
